PassengerId,Survived,Pclass,Sex,Age,Fare
872,1,1,female,47.0,52.55
873,0,1,male,33.0,5.0
874,0,3,male,47.0,9.0
875,1,2,female,28.0,24.0
876,1,3,female,15.0,7.22
877,0,3,male,20.0,9.85
878,0,3,male,19.0,7.9
879,0,3,male,28.0,7.9
880,1,1,female,56.0,83.16
881,1,2,female,25.0,26.0
882,0,3,male,33.0,7.9
883,0,3,female,22.0,10.52
884,0,2,male,28.0,10.5
885,0,3,male,25.0,7.05
886,0,3,female,39.0,29.12
887,0,2,male,27.0,13.0
888,1,1,female,19.0,30.0
889,0,3,female,28.0,23.45
890,1,1,male,26.0,30.0
891,0,3,male,32.0,7.75
